timestamp,open,high,low,close,volume
2012-11-16 05:00:00+00:00,1.278010,1.278350,1.277770,1.278100,869.000000
2012-11-16 06:00:00+00:00,1.278090,1.278370,1.276860,1.277360,1408.000000
2012-11-16 07:00:00+00:00,1.277380,1.277690,1.277060,1.277340,1285.000000
2012-11-16 08:00:00+00:00,1.277380,1.277620,1.276730,1.276950,1210.000000
2012-11-16 09:00:00+00:00,1.276940,1.277710,1.276410,1.277240,1487.000000
2012-11-16 10:00:00+00:00,1.277240,1.277360,1.276770,1.277020,1048.000000
2012-11-16 11:00:00+00:00,1.277000,1.277700,1.276740,1.276780,1301.000000
2012-11-16 12:00:00+00:00,1.276800,1.277310,1.275580,1.275730,1821.000000
2012-11-16 13:00:00+00:00,1.275740,1.276270,1.274630,1.275620,3064.000000
2012-11-16 14:00:00+00:00,1.275640,1.275950,1.274260,1.274990,3710.000000
2012-11-16 15:00:00+00:00,1.275050,1.275090,1.272560,1.273280,3633.000000
2012-11-16 16:00:00+00:00,1.273270,1.274080,1.272360,1.273190,3382.000000
2012-11-16 17:00:00+00:00,1.273190,1.274050,1.272740,1.273580,2752.000000
2012-11-16 18:00:00+00:00,1.273580,1.274540,1.273060,1.274270,2913.000000
2012-11-16 19:00:00+00:00,1.274250,1.275280,1.273650,1.273670,3478.000000
2012-11-16 20:00:00+00:00,1.273680,1.274590,1.272760,1.273050,3722.000000
2012-11-16 21:00:00+00:00,1.273030,1.273270,1.269050,1.270480,5079.000000
2012-11-16 22:00:00+00:00,1.270490,1.271590,1.269380,1.271380,4383.000000
2012-11-16 23:00:00+00:00,1.271400,1.272980,1.271040,1.272210,3406.000000
2012-11-17 00:00:00+00:00,1.272200,1.273600,1.271890,1.272910,2236.000000
2012-11-17 01:00:00+00:00,1.272900,1.272960,1.271970,1.272660,2203.000000
2012-11-17 02:00:00+00:00,1.272680,1.274490,1.272070,1.273640,2184.000000
2012-11-17 03:00:00+00:00,1.273620,1.274300,1.273560,1.274180,1457.000000
2012-11-19 05:00:00+00:00,1.274110,1.276020,1.273960,1.275790,1772.000000
2012-11-19 06:00:00+00:00,1.275780,1.275960,1.274540,1.275040,2098.000000
2012-11-19 07:00:00+00:00,1.275040,1.276210,1.274790,1.275330,1949.000000
2012-11-19 08:00:00+00:00,1.275320,1.277260,1.275210,1.276790,1897.000000
2012-11-19 09:00:00+00:00,1.276850,1.277080,1.276240,1.276450,1003.000000
2012-11-19 10:00:00+00:00,1.276440,1.276510,1.275700,1.275900,1092.000000
2012-11-19 11:00:00+00:00,1.275910,1.276280,1.275640,1.275780,1427.000000
2012-11-19 12:00:00+00:00,1.275780,1.276890,1.275650,1.276580,1437.000000
2012-11-19 13:00:00+00:00,1.276540,1.277330,1.276120,1.276200,2661.000000
2012-11-19 14:00:00+00:00,1.276200,1.278670,1.275170,1.278210,3949.000000
2012-11-19 15:00:00+00:00,1.278260,1.278360,1.276560,1.277430,3219.000000
2012-11-19 16:00:00+00:00,1.277420,1.277830,1.276240,1.276860,2841.000000
2012-11-19 17:00:00+00:00,1.276830,1.277790,1.276540,1.277200,2734.000000
2012-11-19 18:00:00+00:00,1.277200,1.277290,1.276000,1.276300,2421.000000
2012-11-19 19:00:00+00:00,1.276290,1.277190,1.275850,1.276990,3171.000000
2012-11-19 20:00:00+00:00,1.277000,1.278870,1.276970,1.278510,3831.000000
2012-11-19 21:00:00+00:00,1.278490,1.281880,1.277760,1.281430,4787.000000
2012-11-19 22:00:00+00:00,1.281450,1.281760,1.280370,1.280490,3138.000000
2012-11-19 23:00:00+00:00,1.280480,1.281040,1.279860,1.280170,1910.000000
2012-11-20 00:00:00+00:00,1.280160,1.280790,1.280050,1.280370,1425.000000
2012-11-20 01:00:00+00:00,1.280360,1.281010,1.280060,1.280710,1588.000000
2012-11-20 02:00:00+00:00,1.280720,1.281030,1.279960,1.280930,1660.000000
2012-11-20 03:00:00+00:00,1.280940,1.281640,1.280880,1.281280,1377.000000
2012-11-20 04:00:00+00:00,1.281270,1.281460,1.276650,1.278080,2906.000000
2012-11-20 05:00:00+00:00,1.278060,1.278830,1.276460,1.276590,1914.000000
2012-11-20 06:00:00+00:00,1.276590,1.278360,1.276470,1.278070,1813.000000
2012-11-20 07:00:00+00:00,1.278070,1.279050,1.277850,1.278310,1682.000000
2012-11-20 08:00:00+00:00,1.278310,1.278920,1.278260,1.278770,1042.000000
2012-11-20 09:00:00+00:00,1.278740,1.281040,1.278480,1.280280,2046.000000
2012-11-20 10:00:00+00:00,1.280290,1.280550,1.279340,1.279590,1240.000000
2012-11-20 11:00:00+00:00,1.279610,1.279970,1.279350,1.279850,1226.000000
2012-11-20 12:00:00+00:00,1.279790,1.279790,1.278370,1.278550,1848.000000
2012-11-20 13:00:00+00:00,1.278530,1.280540,1.278150,1.278710,3077.000000
2012-11-20 14:00:00+00:00,1.278710,1.281710,1.277390,1.278440,4555.000000
2012-11-20 15:00:00+00:00,1.278450,1.280700,1.278370,1.279430,3376.000000
2012-11-20 16:00:00+00:00,1.279410,1.282060,1.279360,1.280990,3427.000000
2012-11-20 17:00:00+00:00,1.280990,1.281860,1.280350,1.281200,2760.000000
2012-11-20 18:00:00+00:00,1.281140,1.281520,1.279360,1.280060,3329.000000
2012-11-20 19:00:00+00:00,1.280050,1.282760,1.279890,1.280890,3835.000000
2012-11-20 20:00:00+00:00,1.280890,1.280990,1.278570,1.280210,3983.000000
2012-11-20 21:00:00+00:00,1.280210,1.281060,1.279710,1.280200,3540.000000
2012-11-20 22:00:00+00:00,1.280170,1.281630,1.279770,1.281290,3259.000000
2012-11-20 23:00:00+00:00,1.281300,1.281970,1.279820,1.280620,2482.000000
2012-11-21 00:00:00+00:00,1.280620,1.280790,1.279540,1.280420,2497.000000
2012-11-21 01:00:00+00:00,1.280400,1.280670,1.279860,1.280580,1874.000000
2012-11-21 02:00:00+00:00,1.280580,1.281870,1.280500,1.281870,1855.000000
2012-11-21 03:00:00+00:00,1.281860,1.281910,1.281370,1.281650,1222.000000
2012-11-21 04:00:00+00:00,1.281640,1.281710,1.281230,1.281340,937.000000
2012-11-21 05:00:00+00:00,1.281340,1.281780,1.280980,1.281190,1180.000000
2012-11-21 06:00:00+00:00,1.281180,1.281590,1.280690,1.281240,1755.000000
2012-11-21 07:00:00+00:00,1.281240,1.281310,1.280080,1.280760,1833.000000
