date,close
2012-11-14,1726.72
2012-11-15,1716.05
2012-11-16,1713.57
2012-11-19,1731.63
2012-11-20,1727.63
2012-11-21,1728.6
2012-11-22,1729.74
2012-11-23,1751.13
2012-11-26,1748.56
2012-11-27,1742.01
2012-11-28,1719.3
2012-11-29,1725.7
2012-11-30,1714.13
2012-12-03,1715.53
2012-12-04,1697.38
2012-12-05,1693.74
2012-12-06,1699.87
2012-12-07,1703.59
2012-12-10,1712.85
2012-12-11,1709.91
2012-12-12,1711.51
2012-12-13,1697.22
2012-12-14,1695.38
2012-12-17,1698.01
2012-12-18,1670.48
2012-12-19,1666.83
2012-12-20,1647.15
2012-12-21,1657.04
2012-12-24,1658.25
2012-12-26,1659.96
2012-12-27,1663.86
2012-12-28,1655.16
2012-12-31,1676.12
2013-01-02,1686.61
2013-01-03,1663.17
2013-01-04,1655.75
2013-01-07,1646.98
2013-01-08,1658.65
2013-01-09,1657.57
2013-01-10,1674.68
2013-01-11,1662.71
2013-01-14,1667.59
2013-01-15,1679.12
2013-01-16,1679.41
2013-01-17,1687.6
2013-01-18,1683.31
2013-01-21,1689.62
2013-01-22,1691.93
2013-01-23,1685.73
2013-01-24,1667.77
2013-01-25,1658.91
2013-01-28,1655.67
2013-01-29,1663.65
2013-01-30,1676.71
2013-01-31,1663.44
2013-02-01,1667.11
2013-02-04,1674.16
2013-02-05,1672.74
2013-02-06,1677.47
2013-02-07,1671.4
2013-02-08,1666.97
2013-02-11,1647.84
2013-02-12,1650.85
2013-02-13,1642.35
2013-02-14,1634.25
2013-02-15,1609.23
2013-02-18,1609.63
2013-02-19,1604.65
2013-02-20,1563.94
2013-02-21,1575.91
2013-02-22,1580.46
2013-02-25,1593.83
2013-02-26,1613.66
2013-02-27,1597.05
2013-02-28,1579.99
2013-03-01,1576.23
2013-03-04,1573.63
2013-03-05,1575.3
2013-03-06,1583.46
2013-03-07,1578.76
2013-03-08,1578.55
2013-03-11,1581.59
2013-03-12,1592.74
2013-03-13,1587.54
2013-03-14,1590.13
2013-03-15,1591.95
2013-03-18,1605.01
2013-03-19,1612.23
2013-03-20,1605.95
2013-03-21,1614.49
2013-03-22,1608.42
2013-03-25,1605.14
2013-03-26,1599.22
2013-03-27,1605.11
2013-03-28,1596.1
2013-04-01,1599.5
2013-04-02,1575.96
2013-04-03,1557.2
2013-04-04,1554.66
2013-04-05,1580.79
2013-04-08,1573.53
2013-04-09,1585.19
2013-04-10,1557.91
2013-04-11,1560.99
2013-04-12,1482.33
2013-04-15,1348.0
2013-04-16,1366.31
2013-04-17,1375.74
2013-04-18,1390.5
2013-04-19,1403.53
2013-04-22,1425.5
2013-04-23,1414.16
2013-04-24,1431.45
2013-04-25,1466.52
2013-04-26,1461.01
2013-04-29,1474.77
2013-04-30,1476.59
2013-05-01,1457.02
2013-05-02,1466.96
2013-05-03,1470.45
2013-05-06,1469.15
2013-05-07,1452.07
2013-05-08,1473.65
2013-05-09,1457.13
2013-05-10,1447.39
2013-05-13,1430.81
2013-05-14,1425.56
2013-05-15,1392.86
2013-05-16,1386.09
2013-05-17,1358.89
2013-05-20,1393.41
2013-05-21,1376.38
2013-05-22,1369.5
2013-05-23,1390.8
2013-05-24,1385.79
2013-05-27,1394.4
2013-05-28,1380.98
2013-05-29,1393.51
2013-05-30,1413.95
2013-05-31,1387.64
2013-06-03,1411.29
2013-06-04,1399.4
2013-06-05,1403.74
2013-06-06,1413.53
2013-06-07,1381.96
2013-06-10,1386.28
2013-06-11,1377.88
2013-06-12,1388.46
2013-06-13,1385.12
2013-06-14,1390.25
2013-06-17,1385.09
2013-06-18,1367.92
2013-06-19,1351.03
2013-06-20,1284.42
2013-06-21,1295.57
2013-06-24,1282.52
2013-06-25,1277.47
2013-06-26,1226.89
2013-06-27,1200.29
2013-06-28,1234.86
2013-07-01,1252.2
2013-07-02,1243.18
2013-07-03,1252.93
2013-07-04,1249.45
2013-07-05,1222.92
2013-07-08,1236.73
2013-07-09,1251.14
2013-07-10,1257.61
2013-07-11,1285.8
2013-07-12,1285.31
2013-07-15,1284.53
2013-07-16,1291.93
2013-07-17,1275.24
2013-07-18,1284.11
2013-07-19,1295.75
2013-07-22,1335.54
2013-07-23,1342.55
2013-07-24,1322.07
2013-07-25,1333.97
2013-07-26,1333.06
2013-07-29,1328.09
2013-07-30,1326.16
2013-07-31,1325.06
2013-08-01,1310.73
2013-08-02,1312.43
2013-08-05,1302.85
2013-08-06,1283.08
2013-08-07,1287.24
2013-08-08,1312.92
2013-08-09,1314.24
2013-08-12,1337.07
2013-08-13,1321.41
2013-08-14,1335.53
2013-08-15,1365.61
2013-08-16,1376.56
2013-08-19,1365.9
2013-08-20,1371.13
2013-08-21,1366.56
2013-08-22,1375.72
2013-08-23,1397.68
2013-08-26,1404.39
2013-08-27,1414.4
2013-08-28,1417.73
2013-08-29,1407.53
2013-08-30,1394.81
2013-09-02,1391.84
2013-09-03,1412.69
2013-09-04,1391.28
2013-09-05,1367.94
2013-09-06,1391.13
2013-09-09,1386.84
2013-09-10,1363.67
2013-09-11,1365.09
2013-09-12,1322.01
2013-09-13,1326.15
2013-09-16,1310.68
2013-09-17,1310.41
2013-09-18,1364.02
2013-09-19,1366.09
2013-09-20,1325.65
2013-09-23,1322.32
2013-09-24,1323.04
2013-09-25,1334.03
2013-09-26,1323.79
2013-09-27,1336.46
2013-09-30,1328.65
2013-10-01,1288.68
2013-10-02,1316.07
2013-10-03,1316.72
2013-10-04,1310.51
2013-10-07,1322.6
2013-10-08,1319.18
2013-10-09,1304.64
2013-10-10,1286.74
2013-10-11,1272.08
2013-10-14,1271.9
2013-10-15,1282.95
2013-10-16,1282.52
2013-10-17,1320.2
2013-10-18,1316.08
2013-10-21,1315.92
2013-10-22,1340.09
2013-10-23,1333.4
2013-10-24,1346.6
2013-10-25,1350.44
2013-10-28,1352.85
2013-10-29,1344.85
2013-10-30,1344.35
2013-10-31,1322.87
2013-11-01,1315.85
2013-11-04,1314.3
2013-11-05,1311.15
2013-11-06,1317.69
2013-11-07,1307.41
2013-11-08,1287.8
2013-11-11,1283.71
2013-11-12,1268.87
2013-11-13,1273.35
2013-11-14,1287.65
2013-11-15,1287.97
2013-11-18,1273.64
2013-11-19,1274.11
2013-11-20,1244.35
2013-11-21,1243.18
2013-11-22,1243.15
2013-11-25,1248.74
2013-11-26,1242.89
2013-11-27,1237.99
2013-11-28,1244.33
2013-11-29,1252.92
2013-12-02,1219.77
2013-12-03,1223.12
2013-12-04,1243.48
2013-12-05,1224.81
2013-12-06,1228.61
2013-12-09,1240.34
2013-12-10,1260.87
2013-12-11,1251.08
2013-12-12,1225.35
2013-12-13,1238.41
2013-12-16,1241.16
2013-12-17,1230.89
2013-12-18,1217.81
2013-12-19,1189.7
2013-12-20,1202.93
2013-12-23,1198.56
2013-12-24,1202.91
2013-12-26,1210.39
2013-12-27,1213.13
2013-12-30,1196.29
2013-12-31,1206.79
2014-01-02,1224.56
2014-01-03,1236.05
2014-01-06,1237.71
2014-01-07,1231.71
2014-01-08,1225.28
2014-01-09,1227.65
2014-01-10,1247.78
2014-01-13,1252.93
2014-01-14,1245.06
2014-01-15,1241.6
2014-01-16,1242.1
2014-01-17,1253.75
2014-01-20,1250.81
2014-01-21,1241.05
2014-01-22,1236.5
2014-01-23,1264.43
2014-01-24,1269.22
2014-01-27,1256.64
2014-01-28,1256.28
2014-01-29,1267.59
2014-01-30,1243.44
2014-01-31,1243.85
2014-02-03,1257.41
2014-02-04,1254.66
2014-02-05,1258.01
2014-02-06,1257.66
2014-02-07,1267.35
2014-02-10,1274.59
2014-02-11,1291.52
2014-02-12,1290.83
2014-02-13,1302.72
2014-02-14,1318.14
2014-02-17,1328.33
2014-02-18,1321.43
2014-02-19,1311.47
2014-02-20,1322.56
2014-02-21,1324.09
2014-02-24,1336.73
2014-02-25,1340.41
2014-02-26,1330.9
2014-02-27,1330.96
2014-02-28,1326.21
2014-03-03,1350.44
2014-03-04,1334.71
2014-03-05,1336.84
2014-03-06,1351.02
2014-03-07,1340.17
2014-03-10,1339.22
2014-03-11,1348.43
2014-03-12,1363.65
2014-03-13,1366.3
2014-03-14,1382.27
2014-03-17,1366.68
2014-03-18,1355.44
2014-03-19,1327.9
2014-03-20,1327.56
2014-03-21,1333.55
2014-03-24,1308.58
2014-03-25,1310.86
2014-03-26,1304.27
2014-03-27,1291.13
2014-03-28,1294.83
2014-03-31,1283.82
2014-04-01,1279.17
2014-04-02,1289.77
2014-04-03,1286.49
2014-04-04,1303.9
2014-04-07,1297.16
2014-04-08,1308.41
2014-04-09,1311.47
2014-04-10,1318.89
2014-04-11,1318.16
2014-04-14,1327.06
