timestamp,open,high,low,close,momentum_5,momentum_20,rsi_14,atr_14,volatility_regime
2022-01-03 00:00:00+00:00,1.1000000000,1.1015866120,1.0997221826,1.1013087947,,,,,
2022-01-03 01:00:00+00:00,1.1013087947,1.1017764082,1.1004690519,1.1009366654,,,,,
2022-01-03 02:00:00+00:00,1.1009366654,1.1016561080,1.1006834689,1.1014029115,,,,,
2022-01-03 03:00:00+00:00,1.1014029115,1.1017344599,1.1009175982,1.1012491466,,,,,
2022-01-03 04:00:00+00:00,1.1012491466,1.1015692213,1.1006907188,1.1010107936,,,,,
2022-01-03 05:00:00+00:00,1.1010107936,1.1016735851,1.1007476365,1.1014104280,0.0000922842,,,,
2022-01-03 06:00:00+00:00,1.1014104280,1.1016531081,1.1012447804,1.1014874605,0.0005002968,,,,
2022-01-03 07:00:00+00:00,1.1014874605,1.1016129249,1.1006915888,1.1008170533,-0.0005319200,,,,
2022-01-03 08:00:00+00:00,1.1008170533,1.1011140097,1.1004447705,1.1007417269,-0.0004607674,,,,
2022-01-03 09:00:00+00:00,1.1007417269,1.1011535889,1.1004314594,1.1008433213,-0.0001521077,,,,
2022-01-03 10:00:00+00:00,1.1008433213,1.1011697997,1.1005361505,1.1008626288,-0.0004973615,,,,
2022-01-03 11:00:00+00:00,1.1008626288,1.1014380245,1.1006508829,1.1012262786,-0.0002371174,,,,
2022-01-03 12:00:00+00:00,1.1012262786,1.1014876036,1.1008297615,1.1010910866,0.0002489363,,,,
2022-01-03 13:00:00+00:00,1.1010910866,1.1017899243,1.1007404852,1.1014393230,0.0006337509,,,,
2022-01-03 14:00:00+00:00,1.1014393230,1.1019389916,1.1012597690,1.1017594377,0.0008321950,,,,
2022-01-03 15:00:00+00:00,1.1017594377,1.1019887001,1.1010003925,1.1012296549,0.0003333986,,,,
2022-01-03 16:00:00+00:00,1.1012296549,1.1014407360,1.1008272773,1.1010383584,-0.0001706464,,,,
2022-01-03 17:00:00+00:00,1.1010383584,1.1013141835,1.1004434847,1.1007193098,-0.0003376440,,,,
2022-01-03 18:00:00+00:00,1.1007193098,1.1020953916,1.1005467944,1.1019228762,0.0004390194,,,,
2022-01-03 19:00:00+00:00,1.1019228762,1.1023204245,1.1008280558,1.1012256040,-0.0004845283,,,,
2022-01-03 20:00:00+00:00,1.1012256040,1.1014387101,1.1010230254,1.1012361316,0.0000058813,-0.0000659789,,,
2022-01-03 21:00:00+00:00,1.1012361316,1.1019702315,1.1009372033,1.1016713033,0.0005748618,0.0006672844,,,
2022-01-03 22:00:00+00:00,1.1016713033,1.1018009214,1.1012396751,1.1013692932,0.0005905079,-0.0000305232,,,
2022-01-03 23:00:00+00:00,1.1013692932,1.1017070432,1.1011175496,1.1014552997,-0.0004243278,0.0001871993,,,
2022-01-04 00:00:00+00:00,1.1014552997,1.1021766263,1.1010904649,1.1018117915,0.0005323046,0.0007275114,,,
2022-01-04 01:00:00+00:00,1.1018117915,1.1020372747,1.1010871054,1.1013125886,0.0000694284,-0.0000888310,,,
2022-01-04 02:00:00+00:00,1.1013125886,1.1014080968,1.1006618097,1.1007573179,-0.0008296353,-0.0006628696,,,
2022-01-04 03:00:00+00:00,1.1007573179,1.1014528966,1.1005918844,1.1012874631,-0.0000742985,0.0004273279,,,
