timestamp_utc,event_id,event_name,country,currency,impact,actual,forecast,previous,revision,source
2010-01-01T01:00:00,FF-20100101T0100-CNY-Manufacturing-PMI,Manufacturing PMI,CN,CNY,HIGH,56.6,55.4,55.2,,forexfactory_scrape:spoluan/forex-factory-scraper
2010-01-01T01:00:00,FF-20100101T0100-CNY-Manufacturing-PMI-1,Manufacturing PMI,CN,CNY,HIGH,53.9,55.7,55.2,,forexfactory_scrape:spoluan/forex-factory-scraper
2010-01-03T08:15:00,FF-20100103T0815-EUR-Spanish-Manufacturing-PMI,Spanish Manufacturing PMI,EU,EUR,MEDIUM,51.5,,50.0,,forexfactory_scrape:spoluan/forex-factory-scraper
2010-01-03T08:30:00,FF-20100103T0830-CHF-Manufacturing-PMI,Manufacturing PMI,CH,CHF,MEDIUM,59.6,61.7,61.8,,forexfactory_scrape:spoluan/forex-factory-scraper
2010-01-03T08:45:00,FF-20100103T0845-EUR-Italian-Manufacturing-PMI,Italian Manufacturing PMI,EU,EUR,MEDIUM,54.7,52.3,52.0,,forexfactory_scrape:spoluan/forex-factory-scraper
2010-01-03T15:00:00,FF-20100103T1500-USD-ISM-Manufacturing-PMI,ISM Manufacturing PMI,US,USD,HIGH,57.0,57.0,56.6,,forexfactory_scrape:spoluan/forex-factory-scraper
2010-01-03T15:15:00,FF-20100103T1515-USD-FOMC-Member-Kohn-Speaks,FOMC Member Kohn Speaks,US,USD,MEDIUM,,,,,forexfactory_scrape:spoluan/forex-factory-scraper
2010-01-03T15:30:00,FF-20100103T1530-USD-Fed-Chairman-Bernanke-Speaks,Fed Chairman Bernanke Speaks,US,USD,HIGH,,,,,forexfactory_scrape:spoluan/forex-factory-scraper
2010-01-04T02:30:00,FF-20100104T0230-CNY-Caixin-Manufacturing-PMI,Caixin Manufacturing PMI,CN,CNY,MEDIUM,56.1,,55.7,,forexfactory_scrape:spoluan/forex-factory-scraper
2010-01-04T05:30:00,FF-20100104T0530-AUD-Commodity-Prices-y-y,Commodity Prices y/y,AU,AUD,MEDIUM,-16.6,,-24.4,,forexfactory_scrape:spoluan/forex-factory-scraper
